 G S
-0001.14 G U
-0001.15 G U
-0001.16 G U
-0001.17 G U
-0001.18 G U
-0001.20 G U
-0001.21 G U
-0001.23 G U
-0001.24 G U
-0001.24 G U
-0001.24 G U
-0001.25 G U
-0001.26 G U
-0001.28 G U
-0001.30 G U
-0001.33 G U
-0001.35 G U
-0001.38 G U
-0001.40 G U
-0001.41 G U
-0001.42 G U
-0001.44 G U
-0001.46 G U
-0001.47 G U
-0001.49 G U
-0001.52 G U
-0001.55 G U
-0001.57 G U
-0001.59 G U
-0001.62 G U
-0001.64 G U
-0001.66 G U
-0001.68 G U
-0001.70 G U
-0001.73 G U
-0001.75 G U
-0001.77 G U
-0001.79 G U
-0001.81 G U
-0001.82 G U
-0001.84 G U
-0001.85 G U
-0001.87 G U
-0001.89 G U
-0001.90 G U
-0001.92 G U
-0001.94 G U
-0001.96 G U
-0001.98 G U
-0002.00 G U
-0002.02 G U
-0002.03 G U
-0002.05 G U
-0002.07 G U
-0002.10 G U
-0002.13 G U
-0002.16 G U
-0002.19 G U
-0002.23 G U
-0002.25 G U
-0002.27 G U
-0002.29 G U
-0002.30 G U
-0002.31 G U
-0002.32 G U
-0002.34 G U
-0002.36 G U
-0002.39 G U
-0002.41 G U
-0002.44 G U
-0002.47 G U
-0002.51 G U
-0002.54 G U
-0002.58 G U
-0002.62 G U
-0002.65 G U
-0002.68 G U
-0002.70 G U
-0002.71 G U
-0002.71 G U
-0002.71 G U
-0002.71 G S
-0002.72 G S
-0002.73 G U
-0002.75 G U
-0002.77 G U
-0002.79 G U
-0002.82 G U
-0002.84 G U
-0002.86 G U
-0002.89 G U
-0002.92 G U
-0002.95 G U
-0002.99 G U
-0003.02 G U
-0003.05 G U
-0003.06 G U
-0003.07 G U
-0003.08 G U
-0003.08 G U
-0003.09 G S
-0003.11 G U
-0003.13 G U
-0003.16 G U
-0003.19 G U
-0003.23 G U
-0003.26 G U
-0003.29 G U
-0003.32 G U
-0003.35 G U
-0003.39 G U
-0003.43 G U
-0003.46 G U
-0003.50 G U
-0003.51 G U
-0003.52 G U
-0003.52 G U
-0003.52 G U
-0003.52 G U
-0003.52 G S
-0003.52 G S
-0003.53 G S
-0003.55 G U
-0003.57 G U
-0003.59 G U
-0003.63 G U
-0003.66 G U
-0003.70 G U
-0003.74 G U
-0003.77 G U
-0003.79 G U
-0003.82 G U
-0003.83 G U
-0003.85 G U
-0003.86 G U
-0003.87 G U
-0003.88 G U
-0003.88 G U
-0003.88 G U
-0003.88 G U
-0003.88 G S
-0003.87 G S
-0003.87 G S
-0003.89 G U
-0003.91 G U
-0003.93 G U
-0003.97 G U
-0004.01 G U
-0004.05 G U
-0004.09 G U
-0004.13 G U
-0004.17 G U
-0004.19 G U
-0004.22 G U
-0004.25 G U
-0004.27 G U
-0004.29 G U
-0004.30 G U
-0004.33 G U
-0004.34 G U
-0004.35 G U
-0004.36 G U
-0004.37 G U
-0004.37 G U
-0004.37 G S
-0004.38 G S
-0004.39 G U
-0004.42 G U
-0004.46 G U
-0004.50 G U
-0004.54 G U
-0004.58 G U
-0004.61 G U
-0004.63 G U
-0004.66 G U
-0004.68 G U
-0004.71 G U
-0004.73 G U
-0004.76 G U
-0004.78 G U
-0004.80 G U
-0004.80 G U
-0004.80 G U
-0004.79 G U
-0004.79 G S
-0004.80 G S
-0004.81 G U
-0004.83 G U
-0004.86 G U
-0004.88 G U
-0004.91 G U
-0004.94 G U
-0004.97 G U
-0005.01 G U
-0005.05 G U
-0005.09 G U
-0005.12 G U
-0005.15 G U
-0005.17 G U
-0005.19 G U
-0005.21 G U
-0005.22 G U
-0005.24 G U
-0005.26 G U
-0005.27 G U
-0005.28 G U
-0005.29 G U
-0005.30 G U
-0005.32 G U
-0005.33 G U
-0005.35 G U
-0005.37 G U
-0005.39 G U
-0005.41 G U
-0005.42 G U
-0005.44 G U
-0005.45 G U
